song_id,name,duration,album_id,country_chart,chart_rank
4A9u8OrzFYbxdjiydkNdUi,L-Gante Rkt,181928,530tno9W2FoIzPffRMOyGG,Argentina,11
2dNhNlpZAtV4lwAFW45LIv,Am,182496,3dGUvydBX9qhg2YBMsVope,Argentina,12
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,203200,2d9BCZeAAhiZWPpbX9aPCW,Argentina,13
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,186133,1dzGsItgF4Gp1G4TNsdoXU,Argentina,14
3OXxCquI8i14EigwILaLx9,Animal,203687,1R35ZqQyMMDZA8q4oMfVAJ,Argentina,15
4MzXwWMhyBbmu6hOcLVD49,DÁKITI,205090,2d9BCZeAAhiZWPpbX9aPCW,Argentina,16
4loQgPwJHocL3dFwLfjb1J,Reloj,231594,3fq06DDIkadDRB9RuBb22v,Argentina,17
6tDDoYIxWvMLTdKpjFkc1B,telepatía,160191,00wSTrFxoSzA7eeS1UxHgd,Argentina,18
3lCbsHaN1wCxyDzcNN2x4N,Si Me Tomo Una Cerveza,182198,5TXzXK8XclNSvQccVUiCf2,Argentina,19
2OEVXCvrzJfpZaIPwsR99i,Pistola,157369,2b9q2TCzRLoVOi3BCilmFS,Argentina,20
3Zf4GutWZ7Hv3wsVQsSQPs,BEBÉ,197284,1PuH88Md0tzB8UrnBfboJA,Argentina,21
1jtkP2Vj67mcBTXJgIOZsW,Confiesalo,197112,3CHsVnC1c174aoAlDTyIUN,Argentina,22
2mMZAd3ol9wGI2WJl4XJCF,Verte,157418,3NXbwVxHga0cmLdnRIDX64,Argentina,23
6RV9pRLIQiXm3qTGeyQluf,Machu Picchu,179004,1PuH88Md0tzB8UrnBfboJA,Argentina,24
1WvrDdouh6C51In1SdATbq,BICHOTA,178693,5CS8E6JVACItYto4OOJoPW,Argentina,25
4C6BlqqMwjFzOXzqpTeoWR,Ponte Pa' Mi,202373,3Nle45IcWgxIkXQw8EtYq1,Argentina,26
6qraVL4IJaIj0IuEexYJNa,Explícito,195066,4ht3ZwHsmWhrrR8LcKd62u,Argentina,27
5VzNsUnLmYcRfRfxpQsusa,La Nota,216107,2yYl7Q3GOoBjznGy0Rsc2f,Argentina,28
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),137875,2Hjcfw8zHN4dJDZJGOzLd6,Argentina,29
5MOF8J0yJVHdKE3gRgpM6r,Te Mentiria,186382,5ZhZaBJaiJPoPre9hzZ75K,Argentina,30
2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,289933,77aeZo4yYPoMsnnRtPPpuk,Argentina,31
5uD4fcXch2qE5LYeyDipA1,Bésame,142410,2gdXeh9icSTRQp71pxmTP6,Argentina,32
21N4Buj4xsyLb218lYle61,Chica Ideal,183240,7aS92ROK5rixV65VSRGPct,Argentina,33
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,230693,69iuPQsXel3luOSDNF0q2Q,Argentina,34
1VYaM9VSix6jth7nXiHvo2,Chico Estrella,170309,05XZWDj3tPhgwD3zQw43X7,Argentina,35
68mrW6gXHgupgSiDHgaDi5,Polvo,211130,3xhACmNvvaKmvdslE1bevB,Argentina,36
1e0NatUVfOD9xRgeXSedrl,Tinty Nasty,187058,2svQMn9RrCglH2SbMIqlzU,Argentina,37
78SeXVRJ7KCqVmOwTiFjnI,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",171215,3aZthZKHMbbleXcilISjha,Argentina,38
0VWLId2RwPCno9s1cJm2Vy,Travesuras - Remix,324426,1rQpXDegLbNBpe0fshpeKa,Argentina,39
2FSGUA0gFgGeQdprjtGM2M,EL MAKINON,209160,5CS8E6JVACItYto4OOJoPW,Argentina,40
1yc7ERfIzFxPP1E0OFRvp0,Tan Enamorados,176298,3gLXoSKX6H6l1ulUYZTYvz,Argentina,41
2dl5K2ScW7jYhAhuem06cm,PROBLEMA,184506,62qqk2oK0GGO0AwWqUIqrJ,Argentina,42
0TBbNYzmtCfN5cpZSCVNIz,No Toque Mi Naik,143925,2hdIFvSU7heSbsco9Mssbu,Argentina,43
2bgcUk2A3jjKbCJ7KPquTi,Mi Niña,213313,5F7rUv9XZPAnNfeKCYkqZS,Argentina,44
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),203064,5lKlFlReHOLShQKyRv6AL9,Argentina,45
1yoMvmasuxZfqHEipJhRbp,Hawái,199112,0p2yf6DucEgvj8Uk8KXJJv,Argentina,46
4w3R0drhPCc7zeO2OtBV8r,TURRA,206400,2g1zRrhhMX2cnyoP8HvgH7,Argentina,47
5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,130013,2d9BCZeAAhiZWPpbX9aPCW,Argentina,48
