album_id,album_name,release_date
1OnzqJTL9bwe4kvaLxRYxt,Kiss Me More (feat. SZA),2021-04-09
5DwA2j6RPl3a9CEHROkUK5,Faded Love,2021-02-05
1IspgyaPEgZEvvKDT1MCMm,BAD EYEZ,2021-02-18
5bb2Sf8jps2DTyI2urMThV,Afterglow,2020-12-21
5glfCPECXSHzidU6exW8wO,Head & Heart (feat. MNEK),2020-07-03
15sy3XQFShOFiDpKoxByyA,Paradise,2020-10-30
1RWiRfdNZKDe8VXzzf2VEc,you broke me first,2020-04-17
1MZ3ZQqAV3wFjHjaOe6KFz,Head Shoulders Knees & Toes (feat. Norma Jean Martine),2020-05-08
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
4SjKfWuaqoEvX3m1HdYij3,PEPPERMINT,2021-03-04
1MzD3leRcUeeJrtX1KJIbD,induSTREETZ,2021-02-12
5R71PtNXCUYLQoOD0myCCl,Life Changed,2020-09-25
0KGBW1MQtC2aFPCDUdAkdJ,Long Way Down,2013-06-17
6N3kk3LU2L3KweZh6vTq0a,White Lies,2021-01-15
1Nw6WuaXLgABnThiOh2Kdc,Overdose,2021-04-01
3CHys9v5aX1NS861o6r556,Love Not War (The Tampa Beat),2020-11-20
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,2020-09-18
7gG3z3pqEcVW8avRuW98pm,ZART,2021-04-07
2QC9gnxGo0MnJ98mLTOf6c,IIII,2021-02-26
4DsxykS9CPTnJPeoWXkRV8,Rise Up (feat. Vamero),2020-05-01
3baBaA5v0s0D5hHdXQP5uI,Turtlez,2021-04-09
0ZTSxS2LT3Il0QPm4l8kes,Verpennt,2021-03-25
5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27
1zHR48K6XtWYm6bhrw4J6C,TAKE TIME,2020-03-27
2LDGUJR5xUMwkvKlbhrkat,Plesi,2021-04-05
2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name),2021-03-31
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
39qsmsNRXjVaFqTZj9af0j,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15
2adSO4KU3FDjeM1PXCRDZm,The Business,2020-09-16
57UjGWNfxfsBCykDm73XBK,Astronaut In The Ocean,2019-06-07
1zEBi4O4AaY5M55dUcUp3z,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),2021-01-21
66FPnVL9G4CMKy3wvaGTcr,drivers license,2021-01-08
3YjfdLdpQcVI72uKhooZst,F*CK LOVE (SAVAGE),2020-11-06
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
7F9yYqHRtIZnEGF2tANI4b,Your Love (9PM),2021-01-15
5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27
4fEgAL4ge9hHhxVDCUZbeF,Small Town Boy (Track By Track),2020-11-12
15sy3XQFShOFiDpKoxByyA,Paradise,2020-10-30
7dfPqXck6BB9wpThrVYBss,Leave The Door Open,2021-03-05
2eORe6u9TPXYisYshyXVeH,Translation,2020-06-18
0SVzFcpsByITKgURaxXdsV,RAPSTAR,2021-04-09
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
31H0KWvM2hCC3p8jkctCWN,DRILL FR,2021-02-26
7vhYasDgXpdyjwVaFvt95z,1 Op Een Miljoen,2021-01-28
3lwHyR4joA1xB7Nun21EP6,deja vu,2021-04-01
2QC9gnxGo0MnJ98mLTOf6c,IIII,2021-02-26
6YMSXPIHkA2jPIlFHuejXW,All My Demons Greeting Me As A Friend (Deluxe),2016-03-11
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
270o30h7cAlEhBnbuSpFZq,El Dorado,2021-03-26
